3893,"Talk Number"
582,"246","我记得在我年轻时，曾与先*师觉远遇见过一个奇人，　*你的话似乎与他相似。"
583,"247","你也遇见过他呀！我也是听*人家谈起过他的事情，才想*找寻一些东西，看是不是对*我有些帮助。"
584,"248","小兄弟提的是几本书吧？"
585,"249","前辈也知道“十四天书”？　*不知前辈是否知道这些书的*下落？　"
586,"24A","老朽淡出江湖已久，所以并*不太清楚这些书的下落。小*兄弟似乎急于获得这些书？　"
587,"24B","这些书对我的“未来”有很*大的帮助，所以我急于找齐*这些书。*无奈江湖上的人一直以为这*些书是什麽高深武功秘笈，　*所以在一番激烈的你争我夺*下，不知这些书现今流落到*何方了。**但据我的了解，这些书并不*是什麽武功秘笈。"
588,"24C","其实练武原本只是一种强健*体魄的方法。　**但如今的人都拿它做为一种*争强好胜的工具，实在是一*种错误的观念。"
589,"24D","但我觉得武功有时也蛮有用*处的。**像我在江湖行走的过程中，　*若没有高强的武功，可能老*早就完蛋了。"
590,"24E","唉，若是人人都不比谁的武*功高强，世上不知会少了多*少杀戮。"
591,"24F","但有时练武对人来说，也是*会让人着迷的。就好像棋奕*一般。*只不过在武功的印证上，较*容易造成身体的伤害。"
592,"250","练武之人，除了外在的身体*力求强健外，其实更重要的*是要练武者的心。*练武者要能克制自己的好斗*欲望，以及常保一副侠义心*肠，除恶仗义，济弱扶贫，　*将武学用到该用的地方，　*这才是练武的真谛。"
593,"251","前辈说的极是，　*晚辈将永记在心。"
594,"252","你在江湖闯荡的过程中，若*能维持侠义的心，老朽倒是*愿意跟你切磋切磋武学，*看看能不能对你有些帮助。"
595,"253","真的吗？　*能得到前辈的指点，　*晚辈将一生受用无穷。"
596,"254","记着一件事，习武之人要常*保有一副侠义心肠。"
597,"255","小兄弟想要与老朽切磋武学*的奥妙吗？　"
598,"256","还望前辈指导。"
599,"257","少侠武功已到如此境界，　*老朽也没什麽好教你的了。"
600,"258","小兄弟资质不错，我这有一*本少林武功秘*籍多罗叶指，本欲让你拿去*好好参详，但前不久被丘*道长带去，他日有机缘在*给予少侠。"
601,"259","谢谢前辈。"
602,"25A","小兄弟，看来你还需再下一*番努力才是。"
603,"25B","小兄弟资质不错，这是我最*近研究出的一套拳法，名为*太极拳，你拿去好好参详吧。*我这套太极拳，和自来武学*之道全然不同，讲究以静制*动，後发制人……"
604,"25C","……这……这……***是了，这是以慢打快，以静*制动的上乘武学。想不到世*间竟会有如此高明的功夫。*谢谢前辈。"
605,"25D","小兄弟资质不错，功力又增*进不少，不错，不错。**这是我最近研究出的一套剑*法，你拿去好好参详吧．**记住，要领悟剑的“剑意”*而非”“剑招”。"
606,"25E","谢谢前辈，晚辈谨记在心。"
607,"25F","在下有个请求，请何掌门能*放了那位可怜的大夫。"
608,"260","这个庸医，还妄称是陕、甘*一带最有名的大夫，连是什*麽病都说不出来。*若是他医不好五姑的病，我*就一刀把他砍了，免得留在*世上招摇撞骗，荼害世人。"
609,"261","可是他实在是已尽了力，　*况且那女人长的这麽丑，　*不要也罢。"
610,"262","你说什麽？　"
611,"263","糟了，说溜了嘴。"
612,"264","说的也是，在下告辞了。"
613,"265","嗯，这经验点数还真好赚。"
614,"266","这位公子，没事的话，别在*这逗留，万一被我师父看见*的话，她肯定又生气了。"
615,"267","见性峰乃恒山派禁地，　*施主勿近．"
616,"268","什麽恒山派禁地，　*土地权证拿出来我瞧瞧．**像你们这样据地称王的人　*我最痛恨了。"
617,"269","这位施主，再不离开　*可别怪我们不客气．　"
618,"26A","我从地理课本上知道，恒山*风光明媚，鸟语花香，而见*性峰更是如人间仙境，*因此我特地上来观光的。　*你们这些臭道姑太不讲道理*了。*老子我就偏要看看这见性峰*到底长什麽样？　*你们能奈我何？　"
619,"26B","小子说什麽？　*我看你是嵩山派派来的奸细*吧？　*快滚回去告诉你们掌门，　*恒山派绝不会答应并派的．　"
620,"26C","说什麽五四三的，听呒啦．*小侠我都甘愿冒着“一见尼*姑，逢赌必输”的大险来到*你们这尼姑庵中，怎可败兴*而归。"
621,"26D","胡说八道的小子，　*先拿下再说。"
622,"26E","哼，　*愈是不让我来，　*我就愈想探个究竟??"
623,"26F","快滚回去告诉你们掌门，　*恒山派不会答应并派的。　"
624,"270","大胆恶贼，竟擅闯无色庵。"
625,"271","无色？你是色盲啊？　*这儿五颜六色这麽多，　*还说什麽无色。"
626,"272","大胆，胆敢在此清净之地　*口出狂言。"
627,"273","莫非是左冷禅派你来的？　*想不到左盟主为了五岳并派*之事，也不顾同盟之谊了。*回去告诉左冷禅，定闲还不*至忘了师祖的遗训，并派一*事我是绝对不会答应的。"
628,"274","师太在说些什麽？什麽并不*并派的，我只不过上这北岳*恒山来逛逛罢了。"
629,"275","这位少侠，上泰山来不知有*何见教？"
630,"276","原来这儿就是泰山啊！古人*曾说过“登泰山而小天下”*今日一见果然名不虚传。"
631,"277","好说，好说。***我泰山派立派以来，每年上*山朝拜者数以万计，多少人*都想到我泰山派拜师学艺。*我看，　*你也是想来这拜师的吧？　"
632,"278","哈！哈！我还需要拜师，　*有没有搞错啊！我看你拜我*为师还差不多。*不然这样好了，今儿个我心*情正好，就收你为徒。咱们*也不必行什麽拜师礼了……"
633,"279","小子，好大的口气！　*我倒要看看你有多少斤两，　*想叫我拜你为师？　"
634,"27A","那你就试试看！　"
635,"27B","阁下硬闯我泰山派，　*不知是何用意？"
636,"27C","你的徒弟硬要我跟你拜师，　*我就来看看你够不够格当我*师父。"
637,"27D","好个顽劣的恶徒，　*让我来教训教训你。"
638,"27E","抱歉了，　*你似乎没什麽像样的东西可*以教我。"
639,"27F","哼！　*魔教的恶徒，要杀就杀，　*别在那儿罗唆。"
640,"280","好好的，干麽杀你？　*你只是不够格当我师父罢了。"
641,"281","今日不杀我，我五岳剑派同*气连枝，改日我们再上黑木*崖向阁下及东方不败讨教。"
642,"282","这里这麽热闹，　*请问在做什麽？　"
643,"283","本派刘正风刘师叔近日将要*“金盆洗手”，归隐江湖．**江湖上的好朋友这几天都会*陆续来到衡山观礼．**不知阁下是否是刘师叔的朋*友，还请出示请帖．"
644,"284","哦，是这样子的啊！　***想不到武林中的习俗还真不*少，退休了还要办个活动让*大家知道．"
645,"285","阁下若无请帖，还请离开．"
646,"286","说不得只好打了．"
647,"287","阁下若无请帖，还请离开．"
648,"288","这位少侠请进．"
649,"289","武林中人金盆洗手，原因很*多．倘若是黑道上的大盗，　*一生作的孽多，洗手之後，　*这打家劫舍，杀人放火的勾*当算是从此不干了．**那一来是改过迁善，给儿孙*们留个好名声．**二来地方上如有大案发生，　*也好洗脱自己嫌疑．"
650,"28A","学武的人，一辈子动刀动枪，*不免杀伤人命，多结冤家．**一个人临到老来，想到江湖*上仇家众多，不免有点儿寝*食不安．*像刘三爷这般广邀宾客，扬*言天下，说从今而後再也不*动刀剑了．*那意思是说，他的仇家不必*担心他再去报复，却也盼他*们别再来找他麻烦．"
651,"28B","刘正风金盆洗手，那是说从*今而後，再也不出拳动剑，　*决不过问武林中人的是非恩*怨，江湖上算是没了这号人*物．"
652,"28C","还请费兄回去告诉左掌门，　*五岳并派之事，我衡山派是*不会答应的．"
653,"28D","莫掌门还请三思，五岳合并*之後，对我五岳剑派是大有*好处的．*到时我五岳派就可和少林　*武当各大派相庭抗礼了．"
654,"28E","衡山派百年基业，还不想断*送在我莫大手里．*费兄还请回吧．"
655,"28F","本来我是不想提的，　*刘师兄此次金盆洗手，　*是跟魔教有关吧？　*左盟主已知道其中曲折了，　*但顾全五岳同盟之情．．**所以还是请莫掌门三思．　*届时还望光临嵩山，参加五*岳同盟大会．"
656,"290","送客．"
657,"291","小子，你擅闯我衡山，是何*用意？　*莫非是左冷禅派来的奸细？"
658,"292","回去告诉左冷禅，下月十五*在嵩山召开的大会，我莫大*一定到场．*我倒要看看其它三派的掌门*怎麽说．"
659,"293","请问这里是华山吗？　*“华山论剑”是在这里吗？　"
660,"294","不错，承蒙江湖同道看得起*我华山派，四年举办一次的*“华山论剑”正是由我华山*派主办，只不过不是在这，　*而是在另一座山头。这里是*我华山派练功修行的地方。"
661,"295","陆猴儿，各位近来好吧？　"
662,"296","大师哥．"
663,"297","别叫我大师哥了．我现在不*是华山派的人了，我随这位*小兄弟浪迹天涯．*对了，小师妹呢？"
664,"298","久闻贵派掌门“君子剑”岳*先生为人正直，道德崇高，　*不知在下能否有幸拜见？　"
665,"299","我师父就在里面，少侠请。"
666,"29A","听说日月魔教的教主东方不*败武功高强，但我五岳剑派*连成一气，定能瓦解魔教。"
667,"29B","下月十五我五岳剑派在嵩山*上的聚会，将要商讨如何对*付日月魔教及东方不败。"
668,"29C","听说左盟主想要将我五岳剑*派合并，　*不知师父是否赞成？　"
669,"29D","师父。　"
670,"29E","谁是你师父了？岳某早跟你*脱却了师徒名份。"
671,"29F","弟子做错了不少事，愿领师*父重责。只是……**只是逐出门墙的责罚，务请*师父收回成命。"
672,"2A0","唉，我何尝不想呢？在此五*岳并派紧要之际，你师弟他*们的功夫还不到家……*下月十五的嵩山大会过後，　*华山派还能存在吗？重回华*山……到时再说吧。　"
673,"2A1","近日江湖盛传五岳剑派将在*下月十五，于嵩山召开大会*讨论并派之事。*不知岳先生对此有何看法。"
674,"2A2","我华山创派二百余年，中间*曾有气宗、剑宗之争．**在下念及当日两宗自相残杀*的惨状，至今兀自不寒而栗．*……*因此在下深觉武林中的宗派*门户，分不如合。*千百年来江湖上仇杀斗殴，　*不知有多少武林同道死于非*命，推原溯因，多半是因门*户之见而起。*在下常想倘若武林之中并无*门户宗派之别，天下一家，　*人人皆如同胞手足，*那麽种种流血惨剧，十成中*至少可以减去九成。**英雄豪杰不致盛年丧命，世*上也少了许许多多无依无靠*的孤儿寡妇。"
675,"2A3","岳先生人称“君子剑”，　*果然名不虚传，　*深具仁者之心。*武林中人只要都如岳先生这*般想法，天下的腥风血雨、　*刀兵纷争，便都泯于无形了。"
676,"2A4","其实这一些浅见，其他的武*林前辈一定也都想过。**他们都知道门户派别的分歧*大有祸害，为什麽不能痛下*决心，予以消除？　*在下大惑不解，于此事苦思*多年，直到前几日才恍然大*悟，明白了其中的关窍所在。"
677,"2A5","岳先生的见地，　*定然是很高明的。"
678,"2A6","在下潜心思索，发觉其中道*理，原来在一个“急”字与*“渐”字的差别．"
679,"2A7","历来武林中的有心人，盼望*消除门户派别，往往操之过*急．　*要一举而将天下所有宗派门*户之间的界限，尽数消除．**殊不知积重难返．武林中的*宗派，大者数十小者过千，*每个门户都有数十年乃至千*百年的传承，要一举而消除*之，确是难于登天．"
680,"2A8","不知那嵩山派左掌门为何如*此急着要合并五岳剑派？"
681,"2A9","左冷禅野心极大，　*他想要做武林中的第一人。**当初当上五岳剑派盟主，　*那只是第一步。第二步是要*将五派归一，由他自任掌门．*五派归一之後，实力雄厚，　*便可俨然与少林、武当成为*鼎足而三之势。*到时他会进一步蚕食昆仑、　*峨嵋、崆峒、青城诸派，　*一一将之合并。*然後他向魔教挑战，率领少*林、武当诸派，一举将魔教*挑了，这是第四步。"
682,"2AA","这种事情难办之极，左冷禅*的武功未必当世无敌，　*他何以要花偌大心力。　"
683,"2AB","人心难测。世上之事，不论*多麽难办，总是有人要去试*上一试。*左冷禅若能灭了魔教，在武*林中已是唯我独尊之势。　**再要吞并武当，收拾少林，　*也未始不能。**干办这些大事，　*那也不是全凭武功。"
684,"2AC","原来左冷禅是要天下武林之*士，个个遵他号令。"
685,"2AD","那时只怕他想做皇帝了，　*做了皇帝之後，又想长生不*老，万寿无疆。　*这叫“人心不足蛇吞象”，　*自古以来，皆是如此。**英雄豪杰之士，绝少有人能*逃得过这“权位”的关口。"
686,"2AE","人生数十年，但贵适意，　*却又何苦如此？　**左冷禅要消灭崆峒、昆仑，　*吞并少林、武当，不知将杀*多少人，流多少血。　*岳先生，我们必须阻止左冷*禅，不让他野心得逞，以免*江湖之上，遍地血腥。"
687,"2AF","下月十五的嵩山大会上，　*岳某将尽力而为。"
688,"2B0","到时我一定去帮你。"
689,"2B1","是啊，师父，　*到时我们一定会去帮你。"
690,"2B2","只盼你能立了大功，　*我才有理由让你重回华山门*下。"
691,"2B3","兄弟，下月十五，我们一定*要到嵩山去阻止左冷禅的阴*谋。　"
692,"2B4","对不起，　*本派近日诸事繁忙，　*暂不对外开放．"
693,"2B5","请问是不是有什麽大事呀？　"
694,"2B6","家师定於下月十五，将邀请*其他四派掌门齐聚嵩山，　*商讨我五岳剑派并派之事．"
695,"2B7","是这样子的．"
696,"2B8","阁下若无要事，还请离去．"
697,"2B9","今天嵩山顶上似乎很热闹．　"
698,"2BA","今日是我五岳剑派并派的大*日子。*闲杂人等，还请离去．"
699,"2BB","这样大的盛会，　*怎能少得了大爷我。*快让让．"
700,"2BC","阁下再不离去，　*休怪我们不客气了．"
701,"2BD","我正有此意．"
702,"2BE","我五岳派与阁下之间的仇是*结定了．"
703,"2BF","我五岳剑派同气连枝，百余*年来携手结盟，早便如同一*家．*兄弟虽为五派盟主，亦已多*历年所．只是近来武林中出*了不少大事，兄弟与五岳剑*派的前辈师兄们商量，均觉*若非连成一派，统一号令，　*来日大难，只怕不易抵挡．"
704,"2C0","不知左盟主和哪一派的前辈*师兄们商量过了，怎地我莫*某人不知其事？　"
705,"2C1","兄弟适才说到，武林中出了*不少大事，五派非合而为一*不可。*其中一件大事，便是咱们五*派中人，自相残杀，不顾同*盟义气。*莫大先生，我嵩山派弟子费*师弟，在衡山城外丧命。**有人亲眼目睹，说是你莫大*先生下的毒手，不知此事可*真。　"
706,"2C2","并无其事，谅莫某这一点微*末道行，怎杀得了那大嵩阳*手？　"
707,"2C3","莫兄，这件事你也不用太过*担心，等我五派合并之後，　*莫兄和我也是师兄弟了。*死者已矣，活着的人又何必*再逞凶杀，多造杀孽？　*莫兄，你说是不是呢？　"
708,"2C4","哼！　"
709,"2C5","南岳衡山派於并派之议，是*无意见了．东岳泰山派天门*道兄，贵派意思如何？　"
710,"2C6","泰山派自祖师爷东灵道长创*派以来，已三百余年。贫道*无德无能，不能发扬光大泰*山一派，可是这三百多年的*基业，说什麽也不能自贫道*手中断绝。*并派之议，万万不能从命。"
711,"2C7","道兄此言差矣。五派合并後，*我五岳派声势壮大，其下各*个弟子，哪一个不沾到光？　*道兄何必为这区区泰山派掌*门一职的私心，而阻扰了全*派的大业。"
712,"2C8","我这掌门人，做不做有什麽*关系？只是泰山一派，恁说*也不能在我手中给人并吞．"
713,"2C9","道兄说了这麽多，　*心中却就是为了放不下掌门*人的名位。"
714,"2CA","你真道我是如此私心？　*好，从此刻起，我这掌门人*不做了……"
715,"2CB","道兄是赞成此事了．．"
716,"2CC","你．．．"
717,"2CD","＜这老道性子太急了，一被*激就着了人家的道。＞"
718,"2CE","左盟主已然身为五岳剑派盟*主，位望何等尊崇，何必定*要并五派，由一人任掌门？"
719,"2CF","师太此言差矣．左某只是提*议五派合并．**这掌门之位，当然还是要由*我五派之人推举出来．"
720,"2D0","我看别讨论了，学武之人，　*就在武功下见真章。*来来来，有谁要跟我打？　"
721,"2D1","不知阁下是谁？竟擅闯我嵩*山派？你不知道我五岳派在*此聚会吗？　"
722,"2D2","这位少侠前些时日来到我华*山。　*我已让他入我华山派了。"
723,"2D3","原来是华山派的弟子。照如*此说，岳先生也是赞成这*“比剑夺帅”的方法了。　"
724,"2D4","比剑夺帅，原也是一法。　*但只可点到为止，　*以免伤了和气。"
725,"2D5","原来华山派是赞成并派的。*我天门就先来领教你华山派*的高招。"
726,"2D6","师父，让弟子来即可。"
727,"2D7","这让我来就可以了．"
728,"2D8","承让了，道长．"
729,"2D9","让我定闲来领教领教华山派*的高招．"
730,"2DA","承让了，师太．*接下来不知是哪位．"
731,"2DB","你连战两场，　*先下去休息吧．"
732,"2DC","没关系，少年人体力充沛，　*莫掌门请出手吧．"
733,"2DD","真所谓“长江後浪推前浪”，*华山派岳先生为了今天　*想必已筹划很久了吧？*若左某也败了，我嵩山派自*当奉岳先生为掌门．"
734,"2DE","终於都解决了，好累．*左冷禅，看来你的阴谋是无*法达成了．"
735,"2DF","我不该低估你的。*岳不群，想不到你的心计比*我还深，左某是输你一筹。"
736,"2E0","胡说八道，人家岳先生才不*想做什麽掌门呢．**今天我来，其最主要的就是*要阻止你并派的阴谋．"
737,"2E1","岳兄当真不做这五岳派的掌*门．　"
738,"2E2","没错，我是跟这位少侠提到*过，急於合并各派，实是难*如登天，且会引起武林纠纷．"
739,"2E3","你看，我说的没错吧？"
740,"2E4","但是各家门派如能择地域相*近、武功相似，又或相互交*好，先行进行合并。*则十年八年之内，门户宗派*便可减少一大半。慢慢来的*话问题较小。*咱们五岳剑派今日合成五岳*派，就可为各家各派树一典*范。他日必能成为武林中千*古艳称的盛举。"
741,"2E5","＜事情怎会变成这样，好像*跟我想的不太一样．＞"
742,"2E6","嗯，五岳派今日新创，百废*待举，在下只能总领其事，　*各派的事务，还是由各派原*任掌门主持．***咱们五岳派今日合并，若不*能和舟同济，那麽五派合并*云云，也只是虚名而已．*在下无德无能，暂且执掌本*门门户，种种兴革，还须和*众位兄弟从长计议．在下不*敢自专．***现下天色已晚，各位都辛苦*了．今天就到此为止．他日*再到华山来共商大事．"
743,"2E7","冲儿，你们办完事後，　*赶紧回来华山．*你师娘想你想的紧．"
744,"2E8","是．　"
745,"2E9","哼，岳不群这老贼平时道貌*岸然的样子，没想到城府这*麽深．今天真的失算了．*小子，看你的样子，并不像*真的华山派弟子．　*岳老儿是给了你多少好处？　"
746,"2EA","这．．．"
747,"2EB","小兄弟，我看你武功不错．　*你我二人一起称霸这江湖　*如何？　"
748,"2EC","你武功那麽差，　*我看你还是安份一点．"
749,"2ED","上回是老朽是太轻敌了，　*你还想试试看吗？　"
750,"2EE","华山……不……不……*我五岳派的师哥，　*到嵩山来不知有何贵干？　"
751,"2EF","没事没事，　*我随便逛逛。"
752,"2F0","阁下又来做什麽？　*五岳剑派给你搅的还不够*吗？　"
753,"2F1","阁下又来我恒山派做什麽？　*我定闲可是不承认这五岳派*的。"
754,"2F2","好啊，你居然不承认我五岳*派，看来得再教训教训你。"
755,"2F3","嗨，各位好。*这次你们不会以为我是来拜*师的吧。你们师父的功夫。*……*我看，还是尽早另投明师。"
756,"2F4","天门老道，近来可好？　"
757,"2F5","哼，你来做什麽？*是不是岳不群派你来的？　*显显他五岳派掌门的威风？"
758,"2F6","听你的口气似乎很不服气，　*我们就再来玩玩。"
759,"2F7","华山派的师兄，不知来我衡*山有何贵干？"
760,"2F8","没事，我随便逛逛。"
761,"2F9","莫大先生，近来可好？　"
762,"2FA","小兄弟，我看你本质不差。　*给你一点忠告，　*对岳掌门要小心点。"
763,"2FB","你说什麽？是不是不服气岳*先生当上五岳派的掌门。*看来得再给你点苦头吃吃。"
764,"2FC","刘正风师叔非常喜爱音乐。　*他曾说过世上最美的乐曲是*“广陵散”这部琴谱。*但自稽康一死“广陵散”*从此不传。**但师叔曾说，这套琴谱在西*晋之後固然没有，但西晋之*前呢？　*所以他说，搞不好哪一天他*会去挖掘古墓也说不定。**你说，刘师叔的想法是不是*有点疯狂？"
765,"2FD","师父说我华山派从今日起，　*在我五岳派中所负的责任是*更重大的。*我们要好好练武，过些时候*好攻上黑木崖，消灭万恶的*日月魔教。"
766,"2FE","上次多亏了少侠的帮忙，才*阻止了左冷禅的阴谋。**这回，岳某成为“五岳派”*的掌门，其肩上的责任是更*重大了。*不过岳某一定尽力以赴，率*领五岳派打倒日月魔教。"
767,"2FF","费师哥，我看不如将刘正风*一家老小抓起来，逼他承认*与日月魔教的勾搭。*到紧要关头时，说不得只好*将他杀了。"
768,"300","好啊！你们居然在这里计划*要杀人，亏你们还是同盟的*帮派。"
769,"301","小子，偷听了我们的计划　*只好杀了你灭口。*怪不得我们了。上！　"
770,"302","客倌请坐，　*要来点什麽吃的？　"
771,"303","小二哥，　*你们这儿有什麽酒？　"
772,"304","本店的烧刀子远近驰名，　*喝过的人个个赞不绝口。*客倌要不要来点？　"
773,"305","客倌，看你一身打扮，不像*是本地人，大老远赶来，想*必旅途一定劳累了。*要不要在这住上一宿，让你*的体力、元气恢复恢复？"
774,"306","这位兄弟有何贵干？　*是不是想请我喝酒？　"
775,"307","这烧刀子真是辛辣有劲，　*可惜美味不足。"
776,"308","嗯，好一坛梨花酒！　***曾闻白乐天杭州喜望诗云︰　*“红袖织绫夸柿叶，　*  青旗沽酒趁梨花。”*这坛梨花酒酒味是极好，　*只可惜少了股芳冽之气，　*若能以翡翠杯盛之而饮，　*那更是醇美无比。"
777,"309","好一只翡翠杯！　*得此美酒佳器，　*人生更有何憾？*我令狐冲先干为敬，　*谢谢兄弟赠酒之情。"
778,"30A","＜令狐冲！他就是令狐冲！＞***我听江湖上议论纷纷说令狐*兄已遭华山派逐出师门，*不知可有此事？　"
779,"30B","唉，令狐冲一生仗义直行，　*从不做违背良心之事，　*到头来却落至这个结果。*这件事的始末也非三言两语*可道尽。*唉，不谈这个。咱们喝酒吧。"
780,"30C","不知令狐兄今後有何打算。　"
781,"30D","……"
782,"30E","我看不如这样吧。*令狐兄就和我一起同游江湖，*共寻美酒，才不枉此生。"
783,"30F","这个提议甚好，咱们就一起*喝尽人世间的佳酿美酒，　*走。　*对了，兄弟，告诉你一个好*玩的地方︰是我在华山时发*现的．*那地方甚为隐密，入口在华*山的背面．有空我们可以去*看看．"
784,"310","＜这个玩物丧志的家伙，整*天就只知道喝酒，跟他在一*起真是浪费我找书的时间。＞*啊！令狐兄，我突然想起还*有重要的事要办，我先失陪*了。"
785,"311","来，来，咱们再喝一杯。"
786,"312","小二哥，请问哪里才有极品*的佳酿美酒。　"
787,"313","我曾听说杭州多佳酿，　*梅庄之美酒更是首屈一指。"
788,"314","听说华山派有个叫什麽令狐*冲的，因勾结日月魔教而被*逐出师门，不知真有此事？　"
789,"315","是啊，我也听说了。***不过我所听说的令狐冲为人*正直，好打抱不平，应该不*会做出背叛师门之事才对。*只是此人酷嗜杯中物，是否*因酒而误事，其中必定另有*隐情。"
790,"316","客倌，你别开玩笑了，　*烧刀子一壶可是要*１０两银子的。　"
791,"317","客倌，你慢用。　"
792,"318","客倌，有什麽吩咐？　"
793,"319","好，我就试试看你们悦来客*栈的服务好不好。"
794,"31A","走，走，走，　*没钱就不要妨碍我做生意。　"
795,"31B","这坛梨花酒酒味是极好，　*只可惜少了股芳冽之气，　*若能以翡翠杯盛之而饮，　*那更是醇美无比。"
796,"31C","悦来客栈，　*只此一家，别无分号．*住宿１００"
797,"31D","小兄弟到梅庄来不知有何见*教？　"
798,"31E","在下听闻杭州梅庄的佳酿美*酒名闻遐尔。特来叨扰一杯*酒喝喝．"
799,"31F","喝酒，你是什麽东西？*要喝我精酿的美酒岂是那麽*容易？*快滚！省得我动手赶人．"
800,"320","不给喝就不给喝，　*那麽凶干嘛？　"
801,"321","你还不走？　*在这儿罗嗦什麽？　"
802,"322","啊！　*这是北宋范宽的真迹，*“溪山行旅图”，你……*你是从何处得来的？　"
803,"323","这个你不必管。***我听江湖上传言，梅庄四庄*主好酒、好画、好剑，人称*三绝。*那想必对我这幅画定是*“哈”死了！　"
804,"324","你这小子，　*到底有什麽企图？　"
805,"325","“企图”没有，　*“行旅图”倒是有一幅。"
806,"326","小子，少贫嘴，找死吗？　"
807,"327","就凭你？　*帮我搔痒还差不多。"
808,"328","啊！气死我了！　"
809,"329","真是长江後浪推前浪，　*今日败在你的手里，　*我也没话可说。"
810,"32A","承让了，四庄主。"
811,"32B","小子，你等着，　*待我去请我三哥。"
812,"32C","三哥，就是这家伙。"
813,"32D","看少侠年纪轻轻，想不到武*功竟能够凌驾我四弟之上，　*真是英雄出少年。"
814,"32E","不敢当，想必阁下是三庄主*秃笔翁？　"
815,"32F","正是老夫。"
816,"330","三哥，你一定要帮我出这口*气，将那幅“溪山行旅图”*给抢过来。"
817,"331","四弟，你自己丢的面子还不*够啊？　*这位少侠，老夫不送了。"
818,"332","少侠，老夫不送了．　*请．"
819,"333","．．．．．"
820,"334","这……这是真迹！　*真是……真是唐朝……*唐朝张旭的“率意帖”*假不了，假不了的．　"
821,"335","三庄主果然是行家．"
822,"336","少侠，可否再借老夫一看？　"
823,"337","秃老头，要看可以，　*先打赢我再说。"
824,"338","说什麽？　*我最痛恨人家叫我秃子，　*你这小子太不知死活了。"
825,"339","秃头，秃头下雨不愁，　*人家有伞，我有秃头。"
826,"33A","好小子，　*我瞧你是活得不耐烦了，　*看看老夫怎麽收拾你。"
827,"33B","小伙子，果然有两下子，　*可是那“率意帖”我是要定*了。"
828,"33C","三庄主，别自不量力了。*我看这梅庄之中也没什麽能*手了，真是害我白走一趟。"
829,"33D","臭小子，别这麽嚣张。　"
830,"33E","这样好了，贵庄中只要有人*能够胜得了我，连同先前那*幅“溪山行旅图”和这“率*意帖”一并送上。"
831,"33F","小子，此话当真？　"
832,"340","小爷我从来不说假话。"
833,"341","好，　*四弟，咱们去求二哥帮忙。"
834,"342","二哥，就是这个後辈小生来*找麻烦。　*你一定要帮我们报仇。"
835,"343","不会吧，这个小朋友看起来*“古意??古意”　不像是来*找碴的。"
836,"344","还是二庄主明事理。"
837,"345","二哥，你不要让这小子给骗*了，他说我们梅庄中……"
838,"346","好了，四弟，　*不要再多说了。*少侠你先请回吧。"
839,"347","少侠还有其它的事吗？　"
840,"348","这……这是……*我在前人笔记之中见过这记*载……*上面说刘仲甫是当时国手，　*却在骊山麓给一个乡下老媪*杀得大败，登时呕血数升，　*那局棋谱便称“呕血谱”．***原想只道是个传闻，怎料世*上竟然真有这局呕血谱．　**少侠，　*可否借老夫抄录副本．"
841,"349","哈！哈！　***这“呕血棋谱”是我费尽千*辛万苦才得来的，看一次五*千万两黄金，看不看随你．"
842,"34A","二哥你瞧，这小子就是这德*性．完全没把我们梅庄放在*眼里．　*先前还说梅庄中没人是他的*对手，嚣张极了．"
843,"34B","少侠，别敬酒不吃吃罚酒．　*我黑白子想要的东西从来没*有得不到的．　*你还是乖乖地交出来吧？"
844,"34C","二哥，别跟他多说废话，　*咱们三人联手，　*量他插翅也难飞．"
845,"34D","枉费梅庄在江湖上的声名如*此响亮，想不到尽是一群倚*多欺少之辈，可笑可笑．"
846,"34E","三弟、四弟，咱们梅庄可别*让这个家伙瞧扁了，就让我*来会一会，看他多大能耐。"
847,"34F","我就说嘛，你们这几个老头*子根本就不够看，我瞧啊，　*那什麽大庄主想必也没什麽*料。不过既然来了，就把他*叫出和我比划比划。"
848,"350","臭小子，有种别跑。　"
849,"351","看您老一脸英气凛然　*王者之尊的样子，　*想必是梅庄的大庄主。"
850,"352","不敢当，正是老夫。*不知少侠到我梅庄来有何贵*干？　"
851,"353","我听江湖上传言贵庄内卧虎*藏龙，高手如云，一时心生*好奇，特来探个究竟。"
852,"354","我梅庄四友隐居江南已久，　*对江湖之事早已淡如轻烟，　*什麽卧虎藏龙，高手如云，　*不过是武林中人随口胡诌罢*了??"
853,"355","我看也是如此，其它那三位*庄主简直是“鲁肉脚”，三*两下就被我解决了。"
854,"356","小子你……"
855,"357","这个我已听我那三个兄弟说*过，不过对于外在的声名利*禄我们早已抛诸脑後，　*也不会在乎武林上对我们的*评论。　"
856,"358","＜这老家伙真沉得住气，　*  要激他动手可不简单，　*  可得好好想个办法。＞"
857,"359","少侠请慢走，老夫不送了。"
858,"35A","少侠请回吧，我不会和你动*手的。"
859,"35B","小子，不要再让我遇到，　*不然要你好看。　"
860,"35C","“广陵散”！！！　　　***这“广陵散”绝响于人间已*久，今日得睹古人名谱，实*是不胜之喜。妙极！　*和平中正，却又清绝幽绝。*高量雅致，深藏玄机，便这*麽神游琴韵。　*片刻之间已然心怀大畅。"
