15713,"Talk Number"
1465,"5B9","哎呦，这位陈剁猪还是陈剁羊的，我儿子可是因你被抓的啊，你可一定要把他救回来呀。你要是不把我儿子救回来，老娘跟你没完。"
1466,"5BA","大婶，这位陈总舵主一诺千金，你大可放心，况且我们也不会对此坐视不理的。"
1467,"5BB","兄弟所言甚是，只是我一时间也想不到合适的去处。"
1468,"5BC","师兄，胡大哥，这里既然能被贼子找到，看来已经不安全了，我们还是先带陈总舵主另外找个地方养伤吧。陆师叔的归云庄就在左近，陈总舵主在那里必定安全。"
1469,"5BD","那就……咳咳……有劳各位了……啊……"
1470,"5BE","不过，现在江湖上也不大太平，陈总舵主有伤在身，不能再次犯险。不如我们先去探路，留一个人照顾陈总舵主随后而行"
1471,"5BF","那就我来照顾这位陈总舵主吧，反正一天不救回小宝，我是一天不会放他走的。"
1472,"5C0","这……"
1473,"5C1","你放心吧，看住男人，老娘有的是办法！"
1474,"5C2","&&，你们回来啦。怎么样？见到毒手药王了吗？"
1475,"5C3","陆师伯，毒手药王已经不在人世了。这位程姑娘是药王的关门弟子。"
1476,"5C4","拜见陆师伯。"
1477,"5C5","哦，既是药王弟子，想必医术精湛。快带程姑娘到隔壁看看陈总舵主。"
1478,"5C6","快带程姑娘到隔壁看看陈总舵主。"
1479,"5C7","程姑娘，这位就是天地会总舵主陈近南。他是中了神龙教的毒。"
1480,"5C8","我来看看……"
1481,"5C9","多谢陆庄主救命之恩。"
1482,"5CA","陈总舵主这可就错了，老朽可没有这么大的本事。为你解毒疗伤的，是这位程姑娘。"
1483,"5CB","程姑娘妙手回春，陈某感激不尽。"
1484,"5CC","举手之劳，总舵主不必客气。"
1485,"5CD","陈某所中之毒，乃神龙教的“飞天神龙竹叶青”，据说无人可解。程姑娘年纪轻轻，医术竟如此了得，后生可畏呀！"
1486,"5CE","呵呵，陈总舵主有所不知，这位程姑娘，可是毒手药王的高足啊。"
1487,"5CF","难怪难怪。尊师无嗔大师，一向可好？"
1488,"5D0","家师去年已经故去啦。"
1489,"5D1","唉，可惜了。尊师不但医术毒术双绝，而且为人淡薄。世人对他诸多误会，他也不去辩解，只是一心研究自己的学问，治病救人。真乃高人也。"
1490,"5D2","陈总舵主真是家师的知己啊。人言“为人不识陈近南，纵是英雄也枉然”。小女子如今不但识得了陈总舵主，还能为陈总舵主疗伤，深感荣幸。"
1491,"5D3","程姑娘几句话，可是愧煞陈某了。当世英雄何止万千，近南怎敢当的此言。说起英雄，想那丐帮帮主北乔峰，镇守襄阳的北侠郭靖，皆是人中龙凤，近南自愧不如。"
1492,"5D4","陈总舵主也识得爹爹？"
1493,"5D5","这位是……？"
1494,"5D6","这是我师侄，郭靖黄蓉的二女儿，单名一个襄字，人称“小东邪”。"
1495,"5D7","哦，原来是郭二姑娘。那日在扬州承蒙姑娘和两位朋友搭救，陈某谢过。不知另外两位是……？"
1496,"5D8","我来介绍吧，这位是胡斐胡大哥。"
1497,"5D9","雪山飞狐！哈哈，江湖上有名的后起之秀啊。"
1498,"5DA","总舵主过奖。能结交陈总舵主，胡某三生有幸。"
1499,"5DB","这位是我师哥，名叫&&。"
1500,"5DC","见过陈总舵主。"
1501,"5DD","啊！你便是郭靖黄蓉从小村收养的孩子？"
1502,"5DE","是啊。"
1503,"5DF","好！好！好！我此番南来，就是为了找你啊！"
1504,"5E0","找我？"
1505,"5E1","是啊。此事说来话长。陆庄主，不知可否备些酒饭？"
1506,"5E2","哈哈，原该如此！冠英、遥迦，快些准备。陈总舵主，几位贤侄，咱们上二楼大厅。"
1507,"5E3","你们可知道当今天下的四大魔教？"
1508,"5E4","听爹爹妈妈提起过，东海神龙教，西域明教，云南五毒教，晋北日月神教，因其教徒行事狠毒怪异，被江湖中人称为四大魔教。"
1509,"5E5","什么魔不魔的，恩师黄岛主如此神仙般的人物，还被江湖中人称为邪呢。当年恩师与五毒教的何教主交好，素有往来，我也曾见过几面。单从何教主的为人，我就觉得这五毒教算不上魔教。"
1510,"5E6","江湖之上，有门户之见，正邪之分，本来不足为奇。这数百年来，江湖中虽不太平，却也是互相制衡。然而近来的形势却发生了许多变化。"
1511,"5E7","陈总舵主指的是……？"
1512,"5E8","明教教主阳顶天和日月神教教主任我行，突然之间无故失踪。江湖中人皆纷纷猜测二人是相约比武同归于尽。不久，五毒教何教主辞世。而此后，明教内部争斗不断，四分五裂，日趋势微。神龙教和五毒教也没有什么发展。而日月神教却在新教主东方不败的带领下，声势日盛。那东方不败，号称不败，武功之高，据说已到匪夷所思之境。"
1513,"5E9","哼，江湖传言，未可轻信！重阳真人仙去之后，天下未必有人胜得过恩师。"
1514,"5EA","那东方不败不但武功绝高，而且野心极大。其他三教现在据说均已被东方不败控制。"
1515,"5EB","啊？"
1516,"5EC","不但如此，那东方不败还勾结外族。在中原之北，向有大辽、蒙古、大清三国，国力日益昌盛，觊觎我中原已久。我中原武林，自然以抗击外敌，保家卫国为己任。我组织天地会，我侄儿家洛组织红花会，为的是对抗大清。而你父母坚守襄阳，则是对抗蒙古。少林方丈方证大师、丐帮乔帮主，都在尽力对大辽周旋。"
1517,"5ED","爹爹妈妈在襄阳已经好几年了……"
1518,"5EE","可如今，东方不败与三大外族互相勾结，外族好手已尽皆加入日月神教。日月神教已联合明教、五毒教、神龙教，率先动手，占领各地交通要道，残杀中原武林高手。"
1519,"5EF","我们想去襄阳找师父师娘，码头却被神龙教占领了。"
1520,"5F0","我夫妇想北上，南部隘口也已经被五毒教占领了。"
1521,"5F1","是啊。而且我听说，日月神教谋划已久，同时对中原各大门派动手，要打各大门派一个措手不及。也不知道现在中原各派怎么样了，恐怕凶多吉少。"
1522,"5F2","我也好久没有全真教的消息了，不知道师父师伯们怎么样。"
1523,"5F3","中原各派武功好手众多，不会一夜之间全军覆没吧？"
1524,"5F4","中原的情况目前尚不清楚，可是南部的情况确实令人堪忧啊。南少林已经被五毒教占领了。福威镖局一夜之间被血洗一空。连一灯大师也……"
1525,"5F5","连南帝段皇爷也惨遭不测？这……"
1526,"5F6","是啊，一灯爷爷……是我们亲手安葬的……"
1527,"5F7","这么说，你们在一灯临终之前见到他了？"
1528,"5F8","是啊，一灯爷爷跟我说了一些话，之后才……"
1529,"5F9","他是否跟你提到是谁下的毒手？"
1530,"5FA","一灯爷爷说了，是日月神教的火僧。后来我们在天龙寺见到了他，好像叫什么鸠摩智，在他的紧逼之下，枯荣大师焚毁了六脉神剑的剑谱！"
1531,"5FB","啊，鸠摩智，原来是他！"
1532,"5FC","陈总舵主认识这个人？"
1533,"5FD","这鸠摩智本是大辽国师，不但佛学深湛，而且得到宁玛派上师传授火焰刀神功，横扫黑教，威震西域。于姑苏王家得到逍遥派小无相功秘笈，自此佛道双修，达至更高境界。原来日月神教的火僧就是他，看来外族好手已尽皆加入日月神教的传言不虚啊。一灯大师还留下什么遗言了？"
1534,"5FE","他说了一段很奇怪的话……我……我没记住……"
1535,"5FF","是不是“东方既白，睥睨晨星。轻清为天而拂羽兮，重浊为地衡乎玄冥。其视逐行，其欲渐清，虽石崇巨富兮，未能穷其性。其态九幽，其势狰狞，即阿鼻九层兮，鲜能穷其冥。其状灭寂，其形离魂，然屈子之执迷，末能穷其心。尔其动也，水火际会，金雷并作；尔其静也，皓月皎镜，日出不落……”？"
1536,"600","对对，就是这个。陈总舵主你怎么知道？"
1537,"601","这个叫《日月赋》，其实写的就是日月神教中的高手。第一句“东方既白，睥睨晨星”，自然说的是教主东方不败。而这一句“尔其动也，水火际会，金雷并作”，说的就是日月神教的水火金雷四僧。"
1538,"602","这火僧就是鸠摩智，那其他三僧呢？"
1539,"603","这个，就要靠你来寻找答案了。"
1540,"604","我？"
1541,"605","不错！每逢江湖危难之时，小村中总会有英雄现世。南贤和北丑应该给你讲过小虾米的故事吧？"
1542,"606","讲过的。还有小小猪和江小鱼的故事。"
1543,"607","他们都是小村中的英雄。而如今，江湖纷乱，危机存亡之际，唯有小村的传人可以力挽狂澜……"
1544,"608","你是说……我……？我……不行吧……"
1545,"609","怎么不行？"
1546,"60A","我……我……我武功低微……而且也没经验……我还小……"
1547,"60B","武功可以修炼，阅历可以提升，这些都不是问题。孩子，关键是你要下定决心，勇挑重担。唯有坚韧不拔，才能完成你的使命。"
1548,"60C","师哥，我相信你，你一定行的。"
1549,"60D","&&兄弟，初次见面时我就觉得与你十分投缘，我愿意和你一起并肩战斗！"
1550,"60E","是你和胡大哥把我带离药王庄，看来我只能跟着你们了，呵呵。"
1551,"60F","小村的传人，必能成大事！"
1552,"610","你救了家父的性命，我们夫妻愿意帮助你。"
1553,"611","你愿意承担这份责任吗？"
1554,"612","勇挑重担"
1555,"613","推辞"
1556,"614","好，你终于下定决心了。"
1557,"615","可是，我不知道该怎么做。"
1558,"616","当前最要紧的，就是要打通南部隘口！"
1559,"617","可是就我们几个人……"
1560,"618","陆庄主，这可能要委屈你一下了，我想借你的归云庄一用。"
1561,"619","如果真的是东方不败独霸武林，十个归云庄又有屁用！陈总舵主你就吩咐吧。"
1562,"61A","&&，^2你就以归云庄为基地，召集各地的武林人士，^^积蓄力量，等待时机。如果时机成熟，你首先要^2把南少林从五毒教手中夺回来，然后再进攻南部隘口。^^"
1563,"61B","哦，我明白了。就是多找一些志同道合的伙伴，大家都集中到归云庄。然后一起收复南少林，再打通南部隘口。"
1564,"61C","对，就是这样。"
1565,"61D","喂喂喂，你们说了这么老半天，我可一句话都没插。可是我听你们的意思，根本不打算救我的小宝呀，我那苦命的儿啊……"
1566,"61E","大婶，我们会想办法的。"
1567,"61F","&&，陆庄主，各位英雄，陈某要告辞了。"
1568,"620","什么？？"
1569,"621","怎么？陈总舵主不跟我们一起战斗吗？"
1570,"622","我天地会之中，还有些事情要办，况且我答应这位大姐，一定要把他的儿子救出来。"
1571,"623","那……那……那我……"
1572,"624","&&，要相信朋友的力量！"
1573,"625","朋友？"
1574,"626","师兄，有我在你身边啊。"
1575,"627","&&兄弟，还有我们呢。"
1576,"628","这位大姐，我看你那丽春院你也不方便回去了。也在这归云庄住下吧。我一有小宝的消息，马上回来这里"
1577,"629","唉，我……我还能怎么样……在这里总比回去对着那些臭男人好……可是我在这里能做什么呢？"
1578,"62A","这个……以后来的人多了，你……帮忙招待一下吧……"
1579,"62B","哎呦，你的意思是，我还干我的老本行呀！"
1580,"62C","呃……我不是……"
1581,"62D","不用跟老娘假惺惺，我知道你们男人怎么想的。我就是招待人么，老娘干了！咱可说好了，这里的人进进出出，可都要到老娘这登记注册。"
1582,"62E","这里好像是我家呀？"
1583,"62F","你家又怎么样！你家就缺一个管家的女人！"
1584,"630","……"
1585,"631","好了，不多说了。&&，看你的了。我会尽快回来的。"
1586,"632","&&，我的腿残疾了，不能帮你作战了。"
1587,"633","陆师伯，您别这么说。是小侄在这里给您添麻烦了。"
1588,"634","哦，对了，你跟我来。"
1589,"635","这里是归云庄的藏宝室，你以后要存什么东西，就放在这里好了。虽然腿残疾了，但是恩师教我的五行八卦之术还一点没忘。我就在这给你守着，保证谁也进不来。"
1590,"636","多谢陆师伯。"
1591,"637","对，我们支持你！"
1592,"638","崖高人远，马疾香幽……师兄，这里就是那个幽谷吧？"
1593,"639","＜－－｜＞大概就是那个……幽谷。景致是不错，可是段兄的父亲身为大理镇南王，会在这种偏僻的兔子都不打洞的地方吗？"
1594,"63A","二位到此荒山野地有何贵干？"
1595,"63B","打扰夫人了，晚辈来此是为了寻人。请问，段正淳段王爷可在此处？"
1596,"63C","哼！你找那负心薄幸之人做什么？谁让你来我这里找他的？他不在这里，你们赶快离开，否则我就不客气了！"
1597,"63D","………………"
1598,"63E","你们赶快离开，否则我就不客气了！"
1599,"63F","姑娘，你可曾见过一个人……"
1600,"640","黑玫瑰，黑玫瑰不见了！你们有没有见过她？"
1601,"641","＜……我还没问，她倒先来问我＞敢问黑玫瑰是……"
1602,"642","她与我相依为命许多年，从不会弃我不顾。那天夜里我突然听到她的叫声，追出去一看，她已经不见了。定是被哪个无耻霄小之徒掳走了！该死的小贼，若让我抓到他，定要让他变成蜂窝！"
1603,"643","（一阵凉意从脊背嗖嗖地窜上来，好凶悍的姑娘）请问姑娘，那黑玫瑰小姐是怎样的身形相貌，在下愿替姑娘留心寻找。"
1604,"644","那便麻烦公子了，你若助我找回黑玫瑰，你有何事需要帮忙我亦会回报。黑玫瑰一身乌黑亮丽的毛发，不掺一丝杂色，体形瘦削，四肢修长，雄伟高昂，应当十分容易辩认。"
1605,"645","＜？！这姑娘耍我呢吧……＞"
1606,"646","（小声）师兄，这位姑娘说的八成是一匹良驹。"
1607,"647","＜＆×！＠＃￥……原来匹马不是马子……＞姑娘可知那黑……马往哪个方向去了？"
1608,"648","那晚待我追去，她就不见了，不过听声音，似乎是朝东北方向去了。"
1609,"649","姑娘放心，在下必定尽快替你寻回黑玫瑰。"
1610,"64A","你找回黑玫瑰了吗？"
1611,"64B","这碑上写的什么？"
1612,"64C","姓段者入，万劫不复。这万劫谷的主人和姓段的不知道有什么深仇大恨……呃，师兄，你说，段公子的父亲，他姓什么？"
1613,"64D","废话。＜！！！＞呃……那他怎么可能会在这万劫谷里？"
1614,"64E","算了，本尘大师既这样说，自当有一定道理。我们来进去找找。"
1615,"64F","你们是何人？来万劫谷有何贵干？"
1616,"650","＜这二人看来是此间谷主夫妇，真是豪放派和婉约派的结合……＞请问二位可是此处主人？我们受人所托，来此寻人。"
1617,"651","不错，我是马王神钟万仇，这万劫谷谷主。这谷中极少有外人前来，你们来此寻找何人？"
1618,"652","＜不愧是马王神，好长的一张马脸……如此形相，娶了这般如花似玉的老婆，真是侥天下之大幸，应该叫钟万幸才是……＞晚辈见过谷主。请问，镇南王段正淳可在谷中？"
1619,"653","段正淳！！！＜哪儿来的臭小子，找上门来送帽子？！＞"
1620,"654","！！＜为何他们会来此寻找段郎？难道出了什么事？＞"
1621,"655","＜……这是怎么了，这位钟谷主怎地如此咬牙切齿……＞"
1622,"656","＜小声＞师兄小心，我看谷主的脸色似乎不大好……"
1623,"657","来人，给我拿下！"
1624,"658","慢着。万仇，这两个年轻人与我们无仇无怨，切莫冲动伤人，不如问问他们为何前来？"
1625,"659","还问什么问，此二人分明的居心叵测！他们为何来谷中找那姓段的狗贼，啊？宝宝，难道你……难道你真的背着我将那姓段的藏在谷中？！"
1626,"65A","你，你怎么能说出这种话！也罢，你如此不信我，念念不忘的记着那回事，我活着还有什么意思！不如你一掌打死我，一了百了，也免得总是疑神疑鬼。你另外再去娶个美貌夫人好了！"
1627,"65B","对不住，阿宝，好阿宝，你别生气，我一时心急想岔了，我该死，我该死！你别生气……"
1628,"65C","＜这是唱的哪一出？＞钟……钟谷主？"
1629,"65D","臭小子，我管你为什么来此找那狗贼，看在夫人的面子上我就不把你们大卸八块了，还不快滚！"
1630,"65E","你们还是走吧！你们要找的人也确实不在此地。"
1631,"65F","＜看来段王爷的确不在这个鬼地方＞多谢二位，我们这就告辞了。"
1632,"660","滚！！"
1633,"661","……"
1634,"662","＜唉，段郎，不知道你现在好不好……＞"
1635,"663","钟灵支线——寻找闪电貂＞"
1636,"664","呜呜呜……"
1637,"665","姑娘为何哭的如此伤心？"
1638,"666","我的貂儿不见啦！昨天夜里我喂它的时候它还在，今天早上它突然就不见了，呜呜呜……"
1639,"667","那貂儿长的何等形貌？在下愿为姑娘寻回。"
1640,"668","真的？太好了！它身长不到一尺，浅灰色的毛，跑起来速度很快，就像闪电一样，所以叫做闪电貂。"
1641,"669","在下记住了，请问姑娘带这貂儿经常去的地方有哪些？"
1642,"66A","我爹娘不太准我出门的，我只是偶尔会去找木姐姐聊天。"
1643,"66B","好，在下告辞，等我的好消息。"
1644,"66C","你帮我把貂儿找回来了么？"
1645,"66D","嗯？这匹马好威风，莫不是木姑娘的黑玫瑰？待我看看。"
1646,"66E","唏律律——"
1647,"66F","糟了，怎么叫得这么响，被人当成偷马贼就惨了。"
1648,"670","嘿嘿，小子，偷东西偷到我头上了？"
1649,"671","胡说，本公子怎会去做那种不入流的勾当。……不过，看你贼忒兮兮的样子，别是贼喊捉贼吧？"
1650,"672","什么贼喊捉贼，爷爷我平生最恨别人说我是贼，这明明是我的马，你最好放开点眼，不然我可要喊人抓偷马贼了啊——貂儿咬他！"
1651,"673","咦，这不是钟姑娘的闪电貂？看来我想的不错……我倒要看看这貂儿听不听你的话。你且说说，你一个大男人，为什么这马鞍上竟然绣的会是玫瑰图案。"
1652,"674","你……最好见好就收，否则别怪我不客气！"
1653,"675","第一次见到偷儿也这么理直气壮，就让我试试你的武功是不是跟你偷鸡摸狗的本事一样好，……好像应该是偷貂摸马……"
1654,"676","嘿嘿，看来你这双空空妙手，妙得也有限嘛，不如我来替你保管吧——还不快把貂儿还来，否则废了你这双手！"
1655,"677","别……少侠……，我偷这闪电貂，是事出有因的。袁承志袁大侠新得了一件宝贝朱睛冰蟾，传言是解毒圣物，但不知药效如何，所以小的偷这闪电貂来，是想试试毒性，为了尽快赶回，所以……也那个顺手……顺了这匹马来。"
1656,"678","＜袁大哥？这人跟他有关，那到不能过分难为于他＞恩……那好吧，看在袁大哥的面子上，这次就姑且饶了你，如有再犯——嘿嘿……"
1657,"679","是，是，一定给少侠带到。"
1658,"67A","木姑娘，这可是你的黑玫瑰么？"
1659,"67B","啊，真是黑玫瑰！本姑娘从不欠人人情，你以后有什么事需要帮忙，尽管来找我便是。不过这段时间我可能要去中原一趟，暂时不在此处。"
1660,"67C","在下我欲往中原，不如姑娘与我们同行可好？"
1661,"67D","如此也好。"
1662,"67E","钟姑娘，你看这是什么？"
1663,"67F","我的闪电貂！好貂儿乖貂儿你终于回来了……&&大哥，多谢你啦，以后有什么能帮你的尽管说，就算我帮不了，我也可以去找爹娘帮忙。"
1664,"680","现在倒是有一件大事姑娘可以做，就是游历江湖，访遍名山大川～不知道钟姑娘可有兴趣同行？"
1665,"681","好呀好呀，我正想出去玩玩呢！"
1666,"682","你的队伍已满，我就直接去归云庄了。"
1667,"683","你们俩真笨，一点办法都想不出来！"
1668,"684","芙妹，你别总大呼小叫的！"
1669,"685","你，你，你居然说我……呜呜……"
1670,"686","二弟，不许欺负芙妹！"
1671,"687","我……**＜我也没说什么呀……＞"
1672,"688","好了好了，芙妹，别哭了。如今这南部隘口已经无法通过了，我们下一步怎么办？"
1673,"689","我怎么知道怎么办？一灯爷爷也不在了，外公不知道在哪里，也不能去襄阳找爹爹妈妈，我们，我们……呜呜呜……"
1674,"68A","唉，要不我们回桃花岛……"
1675,"68B","……"
1676,"68C","也不知道二妹和&&怎么样了？哎呀，他们也会去南部隘口的，可别让五毒教的人给撞上！"
1677,"68D","芙妹说的是。我们真不应该分开走。"
1678,"68E","那我们去南部隘口附近找找他们吧。"
1679,"68F","大姐，我们在这。"
1680,"690","二妹，&&，你们都没事，太好了。"
1681,"691","大姐不必担心，我们都没事。"
1682,"692","你们去找那个段公子，他怎么样了？"
1683,"693","还好，我们赶到燕子坞的时候，段公子已经平安脱险了。"
1684,"694","怎么样？我就说他没事，你们两个就爱多管闲事。"
1685,"695","大姐，你们怎么到这里来的？"
1686,"696","我们要去襄阳找师父师娘，可惜南部隘口已经被五毒教的人占领了，无法通过。"
1687,"697","是啊，我们不知道怎么办才好，又担心你们两个。"
1688,"698","对了，襄儿妹妹，&&师弟，你们怎么过来的？"
1689,"699","我们去了燕子坞之后，这般这般，如此如此……"
1690,"69A","就这样，我们现在住在归云庄。"
1691,"69B","这样啊，太好了，芙妹，二弟，咱们也去归云庄吧。"
1692,"69C","好呀，陆师伯也很疼我的。"
1693,"69D","襄儿妹妹，&&师弟，我们跟你们一起回归云庄。"
1694,"69E","我跟襄儿还有事要办，你们先自己去吧。"
1695,"69F","……咦，那两个人在干啥？"
1696,"6A0","臭婆娘，当真动手么！"
1697,"6A1","那还跟你客气？杀千刀的恶贼，今日便跟你拼个你死我活！"
1698,"6A2","他妈的，来就来，还怕了你不成？"
1699,"6A3","两位，有话好好说，何必动手……"
1700,"6A4","滚开！这恶婆娘，老子今天非好好收拾她不可！"
1701,"6A5","笑话，老娘倒要看看是谁收拾了谁！"
1702,"6A6","……"
1703,"6A7","一个大男人欺负一个女子，算什么英雄好汉！大嫂，我来帮你！"
1704,"6A8","姑娘且慢！（这姑娘怎么如此莽撞，不辨是非曲直，便只顾帮那女子……）"
1705,"6A9","谁要你多管闲事！"
1706,"6AA","二位且慢！"
1707,"6AB","臭小子，你也来讨打么？"
1708,"6AC","@#%$%@（真是无妄之灾= =|||）"
1709,"6AD","你，你这女人莫不是疯了？"
1710,"6AE","你才是疯了！我们夫妇争闹，平常得紧，碍着你们什么事了？要你们来瞎操什么心？"
1711,"6AF","你们是夫妇？！那……那为什么又打又骂，又动刀子？"
1712,"6B0","骗你做什么？他叫林玉龙，我叫任飞燕，夫妻若是不打架，那还叫什麽夫妻？有道是床头打架床尾合，你见过不吵嘴不打架的夫妻没有？"
1713,"6B1","$@%$@￥&*#（这个疯狂的世界……）"
1714,"6B2","妈了个巴子，两个小鬼脑子不清醒，无缘无故的来砍我一刀，当真倒霉！啊哟，啊哟……"
1715,"6B3","龙哥，你伤得怎样？"
1716,"6B4","他妈的，痛得厉害"
1717,"6B5","那我带你去瞧瞧大夫，这两个小鬼，下次再收拾他们。"
1718,"6B6","这对夫妻当真古怪。姑娘，你没事么？"
1719,"6B7","呼，还好，方才险些吓死了我，多谢你啦！你叫什么名字？"
1720,"6B8","在下桃花岛&&"
1721,"6B9","啊，原来你是桃花岛的人，怪不得身手这么好。&&少侠，你再帮我一个忙成么？"
1722,"6BA","这……不知姑娘要在下帮什么忙？"
1723,"6BB","下月我爹爹寿辰，我寻思了好久，总是想不出送什么礼物。这次总算教我打听到威信镖局要送一件宝物去给满清皇帝，若能将这宝物夺来送给爹爹，爹爹一定欢喜。只是不知道那镖局的人功夫如何，你如肯帮我，那把握便大得多啦。"
1724,"6BC","宝物？什么宝物？"
1725,"6BD","告诉你也无妨，是鸳鸯刀！"
1726,"6BE","？！！就是那传说中得之可无敌于天下的鸳鸯刀？唔，不管传言真假，这刀也决计不能落到满清鞑子手里，姑娘，在下愿与你同去夺刀。"
1727,"6BF","太好了！我打听到那镖局车队会从^2（341 ，253 ）^^的^2官道^^经过，事不宜迟，咱们赶紧动身吧。"
1728,"6C0","张兄弟，你将这两人拿下了，可别伤他们性命。我先行一步，咱们京城见……"
1729,"6C1","……"
1730,"6C2","哪里跑！"
1731,"6C3","龙哥，咱们追！"
1732,"6C4","是杭州那两人！他们也来抢刀？"
1733,"6C5","糟了，看来想要宝刀的不止我们。&&少侠，你去追那镖头，我去看镖车。"
1734,"6C6","好！"
1735,"6C7","大镖头，把东西留下罢。"
1736,"6C8","臭小子，怎么又是你？"
1737,"6C9","咦，这人怎么倒在地上了？"
1738,"6CA","他怀里是什么东西……啊，鸳鸯刀！"
1739,"6CB","喂喂，你们想做啥？快把刀还我！"
1740,"6CC","说得轻巧，这刀又不是你的，凭什么还你？上次打伤龙哥这笔帐，咱们可还没算哪。那小丫头呢？"
1741,"6CD","她……"
1742,"6CE","啊！！！"
1743,"6CF","糟了！"
1744,"6D0","嘿嘿，你们好大的胆子，连皇上的物事也敢劫夺。快将鸳鸯刀交了出来，否则这小丫头的性命，可就难保了。"
1745,"6D1","切，这丫头跟我们非亲非故，还有些梁子，她的性命跟我们有什么相干？龙哥，咱们走"
1746,"6D2","二位留步！"
1747,"6D3","怎么，小子，想动手么？"
1748,"6D4","哈哈，原来你们不是一道的，都给我留下吧！"
1749,"6D5","（这老家伙好生了得！他是谁？）"
1750,"6D6","你……你老人家姓卓？"
1751,"6D7","嘿嘿，亏你知道世上还有个卓天雄。"
1752,"6D8","（满清七大高手之一的卓天雄？原来是他，怪不得如此厉害）"
1753,"6D9","真是你老人家，弟子拜见卓师伯。不知师伯几时从北京出来的？"
1754,"6DA","皇上明见万里，早料到这对刀上京时会出乱子。你一离镖局，我便跟在镖队後面啦。你那些手下，忒也没用，这会儿也不知躲到了那儿。你去叫齐，咱们一块儿赶路吧"
1755,"6DB","是，是"
1756,"6DC","喂，姓卓的，乖乖的便解开我穴道，咱们好好来斗一场"
1757,"6DD","正是，你乘人不备，出手点穴，算是那一门子的英雄好汉？"
1758,"6DE","不论你有多少匪徒，来一个，擒一个，来两个，捉一双。两位小朋友，你们也随我走一遭，去瞧瞧京里的花花世界吧。"
1759,"6DF","快放了我，你再不放我，待我爹爹来了，要叫你後悔无穷。"
1760,"6E0","哈哈，你这麽说，我更加不能放你了，且瞧瞧你爹爹是何等人物，怎样使我後悔无穷"
1761,"6E1","臭老头，我爹爹是萧……"
1762,"6E2","天子重英豪，文章教尔曹，万般皆下品，唯有读书高……"
1763,"6E3","（哪里冒出来的穷酸？罢了，刀已夺回，不宜多生枝节）书生，这里不是你该来的地方，快走罢"
1764,"6E4","老人家这话可差了，君子坦荡荡，天下间便无处不可去得，哪有什么不该来的地方……啊哟，你扣着这姑娘做什么？男女授受不亲，您年纪也一大把了，怎地如此为老不尊，还不放手？"
1765,"6E5","你！小子，这是什么东西？"
1766,"6E6","哈哈，你已中了我们五毒教的腐骨穿心膏，十二个时辰烂肉见骨，廿四个时辰毒血攻心，天下无药可救。怎么，还想再尝尝么？"
1767,"6E7","腐骨穿心膏？！小子，咱们走着瞧！"
1768,"6E8","多谢兄台相救，敢问尊姓大名？"
1769,"6E9","在下袁冠南，兄台莫要客气了，诸位，咱们赶紧快走罢。"
1770,"6EA","咦，那姓卓的老头不是中了你的毒么？干什么这样紧张？"
1771,"6EB","我诓他的，否则凭我的武功，决计不是他对手，怎能救得了姑娘？"
1772,"6EC","啊，那毒药是假的？"
1773,"6ED","别多说了。袁兄，我只怕卓天雄发现毒药是假，片刻便即回转，仓促之间，恐怕不易走脱，还是先找个地方避上一避。"
1774,"6EE","兄台说得有理，可是四下里无房无舍，到哪里去躲？"
1775,"6EF","这……"
1776,"6F0","都是你这臭婆娘不好，咱们若是练成了夫妻刀法，二人合力，又何必怕这糟老头子？"
1777,"6F1","练不成夫妻刀法，到底是你不好，还是我不好？那老和尚明明要你就着我点儿，怎地你一练起来便只顾自己？"
1778,"6F2","（唉，这夫妇俩，这当儿还有心思吵架）我说，咱们五个现下是一根绳子上的蚱蜢，那卓天雄一回来，谁都活不成。你俩还吵什麽？那夫妻刀法又是怎麽一回事？"
1779,"6F3","说来话长，三年前我们成亲之时，有个老和尚经过，传了我们一套刀法，说是贺礼……"
1780,"6F4","原来如此，那位大师法号不知叫什么？"
1781,"6F5","我也忘了，他说他是少林寺的，叫玄……玄什么来着……"
1782,"6F6","既然是少林玄字辈的高僧，那套刀法想必是极精妙的……姑娘，我有一句不知进退的话，原不该说，只是事在危急，此处人人有性命之忧……"
1783,"6F7","我知道啦，你要我和你学这夫妻……夫妻……"
1784,"6F8","嗯，小可绝不敢有意冒犯，实是……"
1785,"6F9","事急从权，那也没甚么冒犯的。任姐姐，请你指点於我，若是我和他……都学会了，抵挡得了那卓天雄，便可救得众人性命。"
1786,"6FA","妙极妙极，男的俊俏，女的美貌，当真天作之合。来来来，你们俩看好了，这是第一招，叫做女貌郎才珠万斛……"
1787,"6FB","贼小子，你躲到哪里去？"
1788,"6FC","妙极，妙极！女貌郎才珠万斛！"
1789,"6FD","……"
1790,"6FE","……"
1791,"6FF","哈哈，恭喜姑娘和袁兄学会了如此精妙的刀法，又夺回了宝刀"
1792,"700","嗯，&&大哥，林大哥，任姐姐，多谢你们啦。我，我要回去了。三月初十是我爹爹五十寿辰，你们都来晋阳罢。还，还有你……"
1793,"701","（三月初十？五十寿辰，晋阳？）姑娘，令尊可是晋阳大侠，萧半和？"
1794,"702","正是。这次我出来太久，爹爹在家里一定着急得很，我这就回去啦。你……你们一定要来。"
1795,"703","是，萧姑娘……"
